Field Name,Max,Min,Mean,Sum,StdDev
Age-adjusted Death Rate,1087.3,2.6,127.56389400073614,1386364.4000000008,223.63977149865391
year,2017.0,1999.0,2008.0,2.1822944E7,5.4774775811055365
deaths,2813503.0,21.0,15459.91019506805,1.68018304E8,112876.02231107968
